Customer_ID,Age,Tenure_Months,Monthly_Spend,Support_Tickets,Email_Opens,Website_Visits,Engaged
1053,24,35,272.17,5,6,41,1
1054,61,48,243.54,3,10,47,1
1055,25,36,420.91,3,9,18,1
1056,64,18,110.49,3,8,21,1
1057,52,49,484.32,1,13,13,0
1058,31,39,358.37,3,12,21,1
1059,34,32,107.76,0,28,8,0
1060,53,24,370.76,5,24,46,1
1061,57,23,269.62,0,29,40,1
1062,21,32,356.54,9,24,46,1
1063,19,37,386.21,5,1,7,0
1064,23,12,52.77,0,2,23,0
1065,59,49,257.99,5,6,44,1
1066,21,55,466.69,9,20,32,1
1067,46,13,167.11,7,17,11,0
1068,35,23,301.0,1,2,22,0
1069,43,25,190.92,1,9,22,1
1070,61,35,232.59,3,21,43,1
1071,51,41,278.82,2,28,25,1
1072,27,30,278.97,3,6,22,1
1073,53,17,108.85,6,8,28,1
1074,31,49,345.44,0,16,29,1
1075,48,20,53.06,5,10,13,0
1076,32,48,78.02,2,6,18,0
1077,25,25,11.33,9,23,2,0
1078,31,22,67.18,6,27,29,0
1079,40,13,241.85,9,13,21,1
1080,57,59,306.99,1,18,15,0
1081,38,19,399.2,1,3,27,0
1082,33,49,62.28,3,25,31,0
1083,62,36,426.86,0,5,15,0
1084,35,12,375.53,2,9,23,1
1085,64,41,210.17,8,6,24,1
1086,41,19,467.14,6,12,44,1
1087,43,12,495.56,6,13,13,0
1088,42,9,110.45,3,3,22,0
1089,62,7,195.82,1,7,43,1
1090,58,28,463.96,3,4,37,0
1091,46,14,363.58,5,0,33,0
1092,32,31,33.57,2,3,3,0
1093,62,52,392.94,0,2,19,0
1094,18,19,415.69,7,8,23,1
1095,42,58,377.75,4,7,29,1
1096,24,47,401.77,4,0,30,0
1097,26,16,414.32,3,26,39,1
1098,41,53,101.34,5,5,44,0
1099,18,5,125.49,2,8,47,1
1100,61,35,320.54,8,6,25,1
1101,25,12,454.85,4,3,37,0
1102,41,25,164.94,2,12,47,1
1103,28,52,298.27,0,16,8,0
1104,34,59,344.66,9,27,42,1
1105,25,21,231.45,5,1,16,0
1106,52,36,359.75,1,27,8,0
1107,52,53,450.84,2,4,1,0
1108,50,23,315.81,0,11,44,1
1109,22,16,274.49,8,26,5,0
1110,59,57,224.98,7,20,3,0
1111,56,39,292.97,1,7,1,0
1112,58,45,184.13,7,5,4,0
1113,45,53,201.83,8,7,40,1
1114,24,42,270.61,0,17,35,1
1115,26,58,42.64,4,2,32,0
1116,25,39,122.22,7,21,42,1
1117,29,14,276.0,1,11,34,1
1118,51,31,221.45,3,28,43,1
1119,50,58,173.08,6,25,25,1
1120,40,5,367.97,2,2,10,0
1121,41,35,349.92,4,21,21,1
1122,54,23,91.7,7,5,46,0
1123,52,29,440.53,9,1,39,0
1124,61,43,252.76,2,22,27,1
1125,57,11,373.32,3,11,27,1
1126,39,18,290.84,8,1,2,0
1127,44,47,498.87,6,5,41,0
1128,52,12,378.68,0,16,48,1
1129,18,9,356.42,3,2,13,0
1130,52,10,391.5,3,1,9,0
1131,54,58,80.13,8,22,36,0
1132,64,44,110.23,5,29,22,1
1133,31,17,359.89,8,19,42,1
1134,20,38,252.05,5,7,26,1
1135,18,7,379.77,5,21,12,0
1136,22,46,60.43,4,11,17,0
1137,43,13,272.88,4,25,14,0
1138,31,40,195.62,1,3,14,0
1139,56,42,233.93,7,4,34,0
1140,44,9,305.94,7,12,20,1
1141,26,50,256.12,0,28,11,0
1142,32,27,274.53,7,14,16,1
1143,32,58,248.32,4,24,31,1
1144,43,2,210.39,1,22,6,0
1145,59,5,388.22,1,15,19,1
1146,30,29,15.98,5,9,37,0
1147,49,37,303.24,8,29,4,0
1148,56,38,287.1,0,29,47,1
1149,49,19,360.93,5,24,4,0
1150,21,8,303.52,8,22,20,1
1151,47,48,415.13,7,15,10,0
1152,54,45,479.95,5,11,24,1
1153,40,1,177.84,2,16,35,1
1154,56,22,121.4,7,15,26,1
1155,62,52,217.56,8,11,37,1
1156,32,17,151.09,0,7,38,1
1157,60,7,311.33,8,19,21,1
1158,46,25,456.81,5,2,40,0
1159,53,45,78.17,5,15,39,0
1160,30,4,59.39,3,29,21,0
1161,49,36,135.45,0,12,10,0
1162,24,6,365.79,9,22,38,1
1163,39,31,300.55,7,27,46,1
1164,45,19,60.08,1,18,4,0
1165,19,44,460.19,0,7,45,1
1166,59,54,397.14,1,21,20,1
1167,62,39,21.28,0,4,17,0
1168,23,27,329.17,0,19,7,0
1169,45,10,387.91,8,7,4,0
1170,45,26,193.47,0,23,29,1
1171,61,19,43.77,3,11,14,0
1172,61,39,47.89,9,0,3,0
1173,37,3,61.08,5,24,24,0
1174,47,45,421.82,6,29,37,1
1175,28,13,456.24,1,20,16,1
1176,45,50,70.18,5,19,4,0
1177,42,28,125.59,6,5,24,0
1178,56,58,91.11,9,21,34,0
1179,50,20,101.3,9,17,30,1
1180,18,28,420.37,1,7,18,1
1181,44,8,172.75,1,6,19,1
1182,30,41,162.61,9,0,31,0
1183,58,39,121.42,6,20,19,1
1184,20,1,307.87,0,15,49,1
1185,56,3,195.86,7,11,46,1
1186,23,13,374.68,2,5,19,0
1187,25,28,110.73,5,19,22,1
1188,44,57,396.02,8,1,24,0
1189,26,49,305.82,5,28,45,1
1190,54,25,65.99,8,13,12,0
1191,50,56,213.11,6,3,30,0
1192,59,33,433.12,8,0,38,0
1193,61,38,462.25,1,22,31,1
1194,41,53,238.19,7,17,36,1
1195,32,6,245.61,7,12,19,1
1196,49,58,460.04,1,1,48,0
1197,49,44,297.66,3,8,45,1
1198,41,45,26.09,6,20,36,0
1199,58,32,457.25,3,1,30,0
1200,29,45,131.63,3,26,49,1
1201,56,47,293.04,5,24,33,1
1202,19,21,91.1,9,8,18,0
1203,20,16,26.6,5,0,49,0
1204,54,54,162.62,9,10,28,1
1205,34,21,392.44,2,2,47,0
1206,19,11,146.02,8,19,11,0
1207,19,37,117.85,9,29,45,1
1208,45,36,114.21,1,22,33,1
1209,40,35,262.44,5,25,17,1
1210,54,19,488.02,6,3,6,0
1211,49,20,234.9,8,17,4,0
1212,50,57,283.08,2,22,20,1
1213,18,18,431.71,9,5,48,0
1214,36,47,272.18,2,2,47,0
1215,19,41,100.39,6,21,27,1
1216,61,49,156.8,3,10,15,0
1217,43,14,161.87,7,14,6,0
1218,49,15,204.69,6,21,47,1
1219,23,31,219.13,4,27,14,0
1220,49,1,401.89,6,4,11,0
1221,21,53,181.2,2,19,39,1
1222,28,54,239.43,1,9,9,0
1223,34,54,316.24,5,11,26,1
1224,55,3,195.09,1,14,16,1
1225,41,16,419.92,2,16,5,0
1226,22,23,297.85,5,9,10,0
1227,51,57,154.08,4,5,3,0
1228,23,11,359.89,7,17,13,0
1229,39,12,268.55,8,12,43,1
1230,28,10,271.88,2,2,49,0
1231,33,32,245.73,9,29,30,1
1232,50,16,253.54,2,23,45,1
1233,26,8,385.02,2,9,6,0
1234,23,38,60.46,5,29,17,0
1235,33,12,173.84,0,13,45,1
1236,46,24,47.0,6,5,19,0
1237,20,28,379.09,0,2,42,0
1238,37,53,143.43,4,15,35,1
1239,53,8,449.74,9,6,46,1
1240,36,58,268.02,7,19,26,1
1241,43,28,402.37,3,13,5,0
1242,20,36,489.68,4,8,29,1
1243,36,26,421.5,3,14,37,1
1244,37,8,434.83,3,20,20,1
1245,49,58,209.91,7,2,49,0
1246,24,50,280.34,1,1,21,0
1247,58,28,134.41,0,26,10,0
1248,50,28,106.1,2,1,5,0
1249,57,37,257.7,8,2,36,0
1250,56,41,301.57,3,17,6,0
1251,35,36,176.24,9,13,26,1
1252,57,27,289.03,4,19,4,0
1253,18,54,444.86,1,17,39,1
1254,28,17,282.79,3,9,39,1
1255,45,9,363.2,1,24,35,1
1256,42,33,404.6,1,1,1,0
1257,40,53,494.48,3,24,24,1
1258,48,20,305.57,5,28,36,1
1259,47,13,405.36,6,21,6,0
1260,59,28,481.7,9,0,41,0
1261,52,48,472.76,2,3,46,0
1262,24,29,79.13,2,13,44,0
1263,33,13,209.13,9,0,31,0
1264,43,46,168.76,5,13,20,1
1265,19,35,52.59,2,15,24,0
1266,18,6,320.29,1,21,25,1
1267,29,18,370.59,7,13,36,1
1268,22,51,425.58,4,28,21,1
1269,54,5,70.16,0,19,30,0
1270,49,47,439.46,2,2,24,0
1271,26,25,325.03,9,2,44,0
1272,58,2,354.93,7,8,42,1
1273,52,10,456.21,3,5,30,0
1274,36,56,316.13,6,24,22,1
1275,33,30,174.57,9,12,28,1
1276,20,50,414.3,1,20,7,0
1277,37,59,187.9,6,1,35,0
1278,41,45,26.77,4,7,28,0
1279,50,5,417.02,4,20,14,0
1280,41,55,179.14,5,1,10,0
1281,28,56,389.18,8,3,16,0
1282,25,33,187.75,5,24,16,1
1283,53,54,431.92,7,14,31,1
1284,55,1,117.56,6,3,42,0
1285,57,18,487.53,8,12,25,1
1286,37,32,392.08,3,27,13,0
1287,52,47,65.98,1,11,6,0
1288,42,49,287.23,6,27,44,1
1289,52,11,492.83,5,12,9,0
1290,42,21,240.82,0,13,45,1
1291,46,26,99.23,8,19,36,0
1292,35,25,247.54,8,17,43,1
1293,63,22,261.1,1,28,20,1
1294,35,59,373.43,2,27,18,1
1295,19,27,352.43,4,5,43,0
1296,52,49,207.25,4,28,21,1
1297,33,13,116.83,0,10,4,0
1298,58,33,326.08,7,29,33,1
1299,53,34,216.63,7,1,27,0
1300,50,41,74.82,3,27,7,0
1301,21,35,451.28,6,22,6,0
1302,50,1,348.7,9,18,15,0
1303,31,21,344.76,2,18,18,1
1304,38,48,413.07,5,4,32,0
1305,37,55,269.53,9,18,11,0
1306,25,6,409.38,9,1,20,0
1307,24,28,254.06,8,9,24,1
1308,20,17,42.92,0,24,15,0
1309,34,5,208.57,4,1,48,0
1310,50,31,253.76,3,29,7,0
1311,29,5,362.9,7,10,21,1
1312,39,38,62.22,0,17,42,0
1313,39,3,78.61,8,28,26,0
1314,63,53,139.21,5,23,44,1
1315,47,23,140.58,3,14,14,0
1316,55,37,368.77,8,8,37,1
1317,55,53,132.86,4,22,21,1
1318,62,37,320.22,4,18,18,1
1319,25,10,252.19,4,8,5,0
1320,44,10,290.91,0,2,3,0
1321,44,19,420.67,0,20,23,1
1322,51,17,208.15,7,8,26,1
1323,38,21,387.75,7,27,37,1
1324,47,14,216.8,5,29,24,1
1325,50,9,183.4,3,13,49,1
1326,45,46,479.73,1,18,19,1
1327,64,1,100.34,1,6,25,1
1328,50,51,54.27,8,15,21,0
1329,22,45,387.78,4,15,12,0
1330,36,13,43.44,3,27,41,0
1331,21,4,420.17,9,0,33,0
1332,52,1,224.22,0,3,4,0
1333,34,49,458.6,6,3,42,0
1334,61,40,363.55,2,6,7,0
1335,45,32,309.1,5,7,22,1
1336,47,34,475.16,4,16,33,1
1337,46,28,204.36,4,4,17,0
1338,63,31,477.5,4,6,24,1
1339,23,8,76.15,0,27,34,0
1340,52,39,247.04,0,19,28,1
1341,58,26,142.26,2,28,43,1
1342,54,58,274.52,9,19,41,1
1343,41,34,89.39,3,3,39,0
1344,46,54,422.35,4,27,22,1
1345,63,54,424.74,1,5,49,0
1346,48,3,478.07,7,6,17,1
1347,52,59,85.79,1,17,34,0
1348,50,50,315.43,8,4,6,0
1349,38,12,242.38,1,19,46,1
1350,49,1,178.75,8,29,6,0
1351,40,54,182.25,6,28,34,1
1352,50,44,212.27,7,2,1,0
1353,20,5,355.41,1,6,10,0
1354,35,30,303.16,6,26,21,1
1355,42,30,235.24,5,27,5,0
1356,59,59,47.21,3,21,2,0
1357,48,57,48.11,6,13,22,0
1358,20,17,11.15,3,6,48,0
1359,57,48,484.17,1,4,2,0
1360,63,47,12.57,9,28,10,0
1361,41,23,60.52,6,21,34,0
1362,49,15,164.15,7,4,16,0
1363,64,37,405.64,1,29,48,1
1364,39,21,481.43,4,22,39,1
1365,40,14,397.11,0,1,22,0
1366,19,2,348.37,6,29,12,0
1367,44,11,265.44,7,26,24,1
1368,59,51,52.49,5,20,47,0
1369,19,39,479.5,4,21,40,1
1370,43,38,381.61,5,5,38,0
1371,34,34,323.09,1,14,10,0
1372,57,38,381.93,0,20,35,1
1373,50,50,364.81,6,9,49,1
1374,26,34,322.24,6,22,32,1
1375,60,18,490.48,9,25,7,0
1376,56,30,452.65,9,23,21,1
1377,46,15,326.87,1,6,20,1
1378,59,27,349.66,1,4,26,0
1379,43,51,35.28,0,0,4,0
1380,52,34,338.26,9,12,46,1
1381,42,52,31.64,7,20,22,0
1382,41,57,298.25,7,25,15,0
1383,30,38,499.68,0,17,40,1
1384,24,33,282.35,7,12,21,1
1385,53,24,241.87,8,20,15,0
1386,62,15,163.3,3,20,22,1
1387,37,30,69.06,0,17,28,0
1388,18,55,368.2,0,4,14,0
1389,25,42,104.37,2,12,27,1
1390,63,51,66.49,4,3,41,0
1391,33,17,216.66,4,16,40,1
1392,31,5,399.72,8,2,28,0
1393,29,29,375.08,9,16,26,1
1394,40,4,36.89,1,27,49,0
1395,32,10,233.02,1,10,2,0
1396,45,56,265.99,5,20,25,1
1397,51,17,325.83,8,19,3,0
1398,19,10,328.58,0,22,8,0
1399,49,17,188.7,8,20,44,1
1400,40,20,284.73,8,25,33,1
1401,39,24,245.72,8,29,42,1
1402,42,5,443.65,4,3,35,0
1403,39,34,269.83,8,1,6,0
1404,39,6,226.11,3,19,39,1
1405,59,53,208.2,1,15,23,1
1406,23,2,290.49,5,27,25,1
1407,32,13,403.95,3,17,43,1
1408,60,43,273.82,5,7,19,1
1409,54,43,334.21,2,2,5,0
1410,50,48,371.55,5,8,11,0
1411,25,11,264.88,1,28,12,0
1412,61,51,219.14,1,19,10,0
1413,61,47,439.57,8,28,8,0
1414,22,57,214.58,6,5,24,0
1415,56,23,236.35,2,9,28,1
1416,21,55,495.27,0,20,41,1
1417,23,16,10.12,7,9,36,0
1418,62,31,100.88,5,12,37,1
1419,49,11,198.14,6,16,21,1
1420,47,54,466.97,8,8,8,0
1421,64,16,44.31,4,16,9,0
1422,52,8,14.65,0,23,47,0
1423,57,4,35.82,9,8,15,0
1424,33,40,53.39,6,8,48,0
1425,30,4,28.42,4,0,46,0
1426,59,56,245.09,2,1,40,0
1427,47,25,294.57,8,27,18,1
1428,36,3,143.13,0,15,42,1
1429,34,32,205.16,0,28,20,1
1430,36,3,54.93,0,0,6,0
1431,45,27,174.82,2,9,12,0
1432,43,29,266.03,5,17,2,0
1433,54,32,368.81,9,25,7,0
1434,43,50,11.64,2,27,16,0
1435,40,58,238.98,7,7,3,0
1436,26,51,155.53,9,20,45,1
1437,29,19,427.88,1,27,3,0
1438,18,21,360.62,8,10,27,1
1439,18,5,298.66,2,22,43,1
1440,64,18,145.86,4,1,40,0
1441,51,28,456.07,9,7,38,1
1442,49,42,32.1,7,26,33,0
1443,42,22,63.64,1,21,28,0
1444,57,21,201.9,5,7,1,0
1445,62,6,70.97,4,16,8,0
1446,18,1,478.64,9,14,37,1
1447,33,5,401.01,8,16,32,1
1448,56,41,136.9,4,27,48,1
1449,22,12,298.39,1,22,43,1
1450,39,26,491.34,4,23,37,1
1451,46,46,443.26,3,12,4,0
1452,20,34,304.39,6,18,30,1
1453,29,49,452.82,5,4,6,0
1454,43,14,494.7,1,11,46,1
1455,33,26,374.24,4,0,19,0
1456,54,45,41.84,6,22,32,0
1457,39,27,206.77,6,4,9,0
1458,46,9,420.53,4,7,12,0
1459,31,26,122.98,8,12,11,0
1460,45,57,417.01,3,7,46,1
1461,22,47,68.97,2,24,16,0
1462,64,57,33.0,3,22,1,0
1463,47,22,198.2,4,10,45,1
1464,63,47,28.0,5,0,21,0
1465,22,56,479.06,2,12,30,1
1466,29,30,414.84,1,18,13,0
1467,33,43,402.38,3,23,34,1
1468,43,48,318.59,4,2,4,0
1469,43,17,116.0,3,23,28,1
1470,38,26,263.95,2,16,38,1
1471,56,36,302.66,7,4,31,0
1472,53,1,267.27,9,19,27,1
1473,50,8,137.51,3,20,5,0
1474,47,49,262.47,1,7,25,1
1475,54,35,250.68,1,25,3,0
1476,40,52,498.2,0,13,33,1
1477,27,15,449.74,3,3,4,0
1478,22,47,237.06,9,10,25,1
1479,53,56,315.24,8,19,20,1
1480,51,22,376.46,6,14,34,1
1481,48,14,27.08,9,18,26,0
1482,27,26,448.51,6,6,5,0
1483,36,28,431.46,6,18,35,1
1484,49,23,234.14,7,27,28,1
1485,18,14,201.67,0,18,29,1
1486,22,24,143.75,9,10,9,0
1487,62,2,243.57,9,25,38,1
1488,21,45,31.74,7,4,6,0
1489,33,26,427.57,3,4,19,0
1490,41,14,27.36,3,29,44,0
1491,33,59,171.24,3,21,11,0
1492,19,56,466.48,5,7,2,0
1493,45,51,370.25,6,9,47,1
1494,49,7,147.88,5,5,44,0
1495,44,3,133.8,0,14,44,1
1496,37,47,12.49,7,15,9,0
1497,41,23,350.9,9,27,21,1
1498,29,46,33.9,6,16,24,0
1499,52,43,270.98,5,7,34,1
1500,50,47,481.44,5,7,22,1
